"filename", "language", "JSON", "JSON with Comments", "Markdown", "TypeScript", "JavaScript", "comment", "blank", "total"
"d:\typescript-algorithms\src\leetcode\Bit operations\231. Power of Two\firstSubmission.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 1, 12
"d:\typescript-algorithms\src\leetcode\hot 100\1. Two Sum\firstSubmission.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 2, 14
"d:\typescript-algorithms\src\leetcode\hot 100\10. Regular Expression Matching\firstSubmission.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 1, 14
"d:\typescript-algorithms\src\leetcode\hot 100\101. Symmetric Tree\TreeNode.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 1, 11
"d:\typescript-algorithms\src\leetcode\hot 100\101. Symmetric Tree\finalSubmission.ts", "TypeScript", 0, 0, 0, 28, 0, 13, 8, 49
"d:\typescript-algorithms\src\leetcode\hot 100\101. Symmetric Tree\firstSubmission.ts", "TypeScript", 0, 0, 0, 17, 0, 13, 5, 35
"d:\typescript-algorithms\src\leetcode\hot 100\102. Binary Tree Level Order Traversal\TreeNode.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 1, 11
"d:\typescript-algorithms\src\leetcode\hot 100\102. Binary Tree Level Order Traversal\__test__\index.test.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 2, 15
"d:\typescript-algorithms\src\leetcode\hot 100\102. Binary Tree Level Order Traversal\firstSubmission.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 2, 27
"d:\typescript-algorithms\src\leetcode\hot 100\104. Maximum Depth of Binary Tree\TreeNode.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 1, 11
"d:\typescript-algorithms\src\leetcode\hot 100\104. Maximum Depth of Binary Tree\finalSubmission.ts", "TypeScript", 0, 0, 0, 24, 0, 13, 5, 42
"d:\typescript-algorithms\src\leetcode\hot 100\104. Maximum Depth of Binary Tree\firstSubmission.ts", "TypeScript", 0, 0, 0, 7, 0, 13, 4, 24
"d:\typescript-algorithms\src\leetcode\hot 100\105. Construct Binary Tree from Preorder and Inorder Traversal\TreeNode.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 1, 11
